no,type,score,question,answer,option1,option2,option3,option4,question_source,answer_info,answer_source
1,qiac,50,湯圓的台語發音？,1,înn-á,bah-uân,kòng-uân,muâ-tsî,https://img.freepik.com/free-photo/close-up-tangyuan-winter-solstice-festival-food-gray-table-background_315337-1420.jpg?size=626&ext=jpg&uid=R4722879&ga=GA1.2.2114991462.1616495099,,
2,qcac,50,下面哪一項是湯圓最主要的製作原料？,2,巧克力,糯米,大麥,玉米,,,https://img.freepik.com/free-photo/organic-white-rice-wooden-spoon-glutinous-rice-sticky-ric_1205-965.jpg?size=626&ext=jpg&uid=R4722879&ga=GA1.2.2114991462.1616495099
3,qcac,50,請問冬至的日期，下列哪個最不可能？,4,12/21,12/22,12/23,12/24,,,
4,qiac,50,吃湯圓象徵什麼樣的意義？,3,孝順,保平安,團圓,健康,https://img.freepik.com/free-photo/asian-soup-with-spoon_1127-123.jpg?size=626&ext=jpg&uid=R4722879&ga=GA1.2.2114991462.1616495099,,
5,qcac,50,冬至吃的湯圓跟元宵節吃的元宵最主要的差異是什麼？,2,形狀不同,做法不同,顏色不同,味道不同,,,
6,qcac,50,下列哪個是在台灣可以觀察到的冬至的天文現象？,2,白天最長,白天最短,北極圈呈現永晝,南極圈呈現永夜,,,
7,qcac,50,湯圓的客語發音,3,biangˋ eˇ,tong,xiag ien,fan,,,
8,qcac,50,下列哪一組節氣都是冬天的節氣？,1,大雪 冬至 大寒,立春 雨水 白露,白露 冬至 霜降,冬至 小雪 小滿,,,
9,qcac,50,冬至是太陽離北半球最遠的時候，但為什麼冬至通常不是最冷的時候？,2,北半球陸地面積較大蘊藏了許多能量,北半球吸收的能量在冬至後仍然持續小於散失的能量,北半球的物種十分多元能夠有效的提升空氣溫度,北半球的森林面積較南半球大具有調節氣候的功能,,,
10,qcai,50,請問冬至的時候，太陽在地球的哪個相對位置,4,"https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_fill,fl_lossy,h_200,w_200,f_auto,g_faces:auto,q_auto/932223/850333_336548.jpeg","https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_fill,fl_lossy,h_200,w_200,f_auto,g_faces:auto,q_auto/932223/288051_230837.jpeg","https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_fill,fl_lossy,h_200,w_200,f_auto,g_faces:auto,q_auto/932223/450270_425777.jpeg","https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_fill,fl_lossy,h_200,w_200,f_auto,g_faces:auto,q_auto/932223/425036_797628.jpeg",,,"https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_fill,fl_lossy,h_200,w_200,f_auto,g_faces:auto,q_auto/932223/425036_797628.jpeg"
