no,type,score,question,answer,option1,option2,option3,option4,question_source,answer_info,answer_source
1,qcac,50,下面哪一項是湯圓最主要的製作原料？,2,巧克力,糯米,大麥,玉米,,,https://img.freepik.com/free-photo/organic-white-rice-wooden-spoon-glutinous-rice-sticky-ric_1205-965.jpg?size=626&ext=jpg&uid=R4722879&ga=GA1.2.2114991462.1616495099
2,qiac,50,吃湯圓象徵什麼樣的意義？,3,孝順,保平安,團圓,健康,https://img.freepik.com/free-photo/asian-soup-with-spoon_1127-123.jpg?size=626&ext=jpg&uid=R4722879&ga=GA1.2.2114991462.1616495099,,
3,qcac,50,請問冬至的日期，下列哪個最不可能？,4,12/21,12/22,12/23,12/24,,,
4,qiac,50,湯圓的台語發音？,1,înn-á,bah-uân,kòng-uân,muâ-tsî,https://img.freepik.com/free-photo/close-up-tangyuan-winter-solstice-festival-food-gray-table-background_315337-1420.jpg?size=626&ext=jpg&uid=R4722879&ga=GA1.2.2114991462.1616495099,,
5,qcac,50,冬至吃的湯圓跟元宵節吃的元宵最主要的差異是什麼？,2,形狀不同,做法不同,顏色不同,味道不同,,,
6,qcac,50,下面哪一項是韓國人冬至會吃的食物？,3,醃泡菜,石鍋拌飯,紅豆粥,人蔘雞湯,,,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMTEhUSEhIVFhUVGBUXFRcXGBUYFxgWGBUWFxcVGBUYHSggGB0lGxUVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGi0dICUtLS0tLS0tLSstLS8tLS0uLS4tLS0tKy0vLS0tLS0tLS0tLS0rLS0tLS0tLS0tLS0tLf/AABEIARMAtwMBIgACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAAEBQMGAAIHAQj/xABAEAACAQIEBAQCCAMIAQUBAAABAgMAEQQSITEFQVFhBhMicYGRBzJCobHB0fAUI1IVM2JygpLh8bIXJENEcxb/xAAaAQADAQEBAQAAAAAAAAAAAAABAgMABAUG/8QALBEAAgIBAwMDAgYDAAAAAAAAAAECEQMSITETQVEEImEygRRxkbHh8COhwf/aAAwDAQACEQMRAD8A55O9AzPRMooOYVVk0DyPUDtUr1EwpGOQPUYuKmZa8y0pj1MQRW/8SajyVsqUTEiSE7miIb3qGNKJg3pkBjbBJtTpHsKU4Rhap2nFWTpEZK2bYmUg0z8GcW8rFISdG9J+NV7E4ihPOINwdRtSSkNGJ3bxdhs8OdeWtG+C+NCaMRk+tND371XvAviRMXB5MhGdRY3596V43Cy4PE5kNgTdTy9j2qLRZM6JxiEkggbb0oxCRocz/CjOA+J4sQPLchZRup59x1FQcf4U7EZFuvOx/KuD1fp9S1RW51eny06b2FcaiVrtYJ0puPJA0FiNiKFg4JpoxFLuI4GaJ1P1o+favJWPJHej0HOM3SZZI+LIwtf1DSo8VIQL3+FU7F4m7ejQDnTvhU4bdiT3q2T1E9lJWT6MEriMIZGAzEVlZ/MBsq5gayleDI942Kpw70cHlFAy0ylSg5Er6Zo8ZAMlREUTIlaFKUdAjVsFqV4r1ukRtQo1kPl1usdEiHS9SxxUyQHIFVKIijqbyu1GYTC3tpRSA5Eca1OsWlNoOF8zWuLw6oNb2p9ImsrOMFjQbNarFNhomUtfXkKTYiKpspxyZwvijwSCRCQQa7PwLj0HEofLewkt8b9RXCnrfh/EZIHDxsQRSjHQvG3DJ4CGANlPpkXQj4itOB/SfioQFltKo66N8+dPPDHjqHEp5OKtfa5/OhfEn0fBgZcKQQdcvL4dKVoNjjC/Sdhn1ZWQnfS4+6n/AA3xBhcQLGZbHlcVwbGcNeNsrqVI6i1QqpHM1LpRux9bqj6L/srCb5l+YrzPgYtTIgt3FfPscsn9bfM0VCpO5NNoj4Bqfk7pifHGBj2kB/ygn8KyuOwYXMLGspgKu5E0FDPhDTtcPW64btXSc1lakwhqM4M1Z2wV6xcCLClobUVxcJW/8J2qyjh/at2waga0dIuorC4avVgtVswMN0JhjDPtrQ0WFlaUJLHlffLyIHegpK6KPG6sr8cJNPOGYe3KnMjJKmURBCpseulTQYPTSqwpqyGVOLogdGABKkDrQmIw9xVgGYplY3HtQ8mHHKqJiNeCo4vBdBSbFYerzicJSPH4TtSyjY0ZUUnER2oZhTvHYbtSqVK5mjpi7Bkcg3BsauHhrx7Nh7KxuvfUfKqiVrxlpRjumE49gMcoEqqCetrX9+VB8Q+jpH9WHk06HUfrXFY5WQ3UkGrDwfxtiYDoxt2P5bVtmYs+L8HYmLeMsOq6/dvWmC4O7Nly2P8AiBFMOGfSsbASAH30pzH9IkDatEp+NCkawKDw7MPsg+xFZTvC+OcKTrGy+1j+BrKNGsrqYeiFgFTrHqKlRdbHnVznBzhtKjbCaUySPlUqRdqBgLBQaWtW02CBvfaj4Yxe4rbFQkggaVjFYw4iwwlzuymQfyzroaC4d4wGdfMQsy3AYbmg+P4DEyHKWzAbaVX8OHhYkrrtryqLTs64zSWx0/h0DMWkYWzm9u1NI4qV+DZZXj/mWK/ZPOnsigb1eMtjllG5A7JahnHap4Z1cmx23oXE4izBRa5Ox6UykhHFkMsd6XYvD07eIihZIqcRlO4ngdKrmLwlq6NPg70j4hwwWNJONjwlRQnjrXJTjGYEi+lAGKoNHQpAUsdQFaZSx6UKUpaDYMVr0VKVrzLQoJ4kzDZjWV6UrK1GO52N9qxk1FFJHW5i1rpo5bB1XnU8B5Vt5VqwDasA2jX1Wo6OG9Dwp6r0zjFBjIBk4cp5Utn8Lxublas3l61IsdJY6FOD4csCBV0FLPGcJWEGKT1gggA79rU04+CyGIKxzgjMPs96onDOCYuCbzAPOA0s7HbqOlBt9h40uSyYCN1QM4ALjW1bYDhtyXkOYg+nsKZFGZQ8ihT0BvapMIlOuCcncmCyx3oY4Y0zkjrxNadMRoUHD60DicN2p/LDQckdawUVDiHDwQdKrmJ4dY7V0SXDXNgLnpWi+EppNcoQdXNvuoSruNG+xzmThpKnTakskJFdsj8EoB68SO4VfzJoKf6PMI3/ANlx8F/SpScSsVI40yVpautS/RbCfqY0f6lB/AilmN+ijEqLxSxS9gSp/MffS7D7nOrVlWHiPhPFQ/3kEg7gZh81vWVqBZ1cWr0TjpWqxc62SPXeug5iV3G1jXkGp2qVAWIABueVHJw3L6pWWMdDqx/0jb40rkkMot8EUCXo9UoRuKQJoiFyObHT/aKhk8RyfZsv+UAVF5kXjgkOVhY7KT8DUggf+hvkarEnGpju7fM/lUX9qyf1t/ub9an1vgdYfktLwtzU/EGgph0t3pPHxqUbO3+4/rRUfiST7Vm/zANRWZGeBhZNwRao8Kpzai1Swcchb68eXuh/I6UbEqP/AHTqx6H0t8jvVFkiyUsUkCyx9qCaEg00kUg6jXpQOMHOqpkmaMKji4e0jWT49B3Nbx2fRdz+NWOFBFGFXfmeZNCU6QYw1ci6PBJANNX5t+lCzSE7mjZRUJirmbbe50pJLYXOtQPHTVsPULQUAieSOoiCNiR7GnD4aoHwtajAi4+UC2ckd9fxr2tngrKJjyKLTamWCwF/UbKg3Y/gBzrOH4O6+bK38sbDYuentQXFuJNIbbKNABsB7VWeSuCWPFfIVi+MrHdYFtyL/aPx5fCkU2IZjdiTUMrUr4hxqOMepvhzrklK3udcY1wNS4FDy4lb3J271Ssd4pkfRBlBvYnnbe1I5+KzPc5tBvr1Nvzocj1R0iXi6D7QqL+24/6h8650Y5G3kFrXJF2+4C/KiE4YMmfz4gBvcsrC5tqgBPx2730o0wtVyX4cZXqPnUsfFFNcvQSsTkzMLm1gbnobVK+KnhID3UnUAgg22rUwOkdWWcHapUnI2Nc4wPidxv6hzqx8P8SxvYE5T3oGo6BgPER0WUZ17/WHs1M5IlkXPEc4G4+0vuPzqjxzBtQb0Zgsc8TBkYgiqRyOJKeJSLTwSH+aTb6o/Hn8vxp3It6XcAxsUxZlAWQgZl5G3NentTfLVXLVuRUdOwGYa8ENHZK3SOgEA/hyeVaDCE7Cm47VqwrGEcmGI3FQvh6fOlxY0K+GrGET4MnYV7VgihsO9ZWMVvjOLzGw0UaAdqruMlCi5NhTTHNa5+dUxycbLkD5IQTc63fLbNltyFxrUZt8LkvBLuL+L8cZriIhVBsXN7X6C2pPYVVsbhJGBkyyGO5GcqTcgA69N/lXRPEceHwnlkR+pVGRL6KG6jmx3J/yjvS7+2C95A7R5QAwiU5bkmwe4IOgOnf3qVyjOmr+TpjBSha2KfwyGJmTJKyPY3MhQIG9NjfoTm+S96P4fEhlaOZgVK2JTLZja4vY6i/3UdxDCYdg2JjliDrdmRcyo9ja6q17E7gX16UXCcLiyskswhkF7n1HMptlUsb2C8tzvT6r4DHG07e68Czh+OTB4gjIChRTZgRmVowCbH/FmtbpRGB4ZLi0BVIsqEKubNcjS31Rba+hIveteJcNDOEeeExKFLTAEObsBcA7tqBa4HyNQw8IlgcvhXkkVW9LKLXCm+W6kgk25dKDqhrdpDHxDgJMAVmjKKHUBhHcZWG+h5HtSrB+ZxGVYTcgkZnIvkHNvlenWM8SYeUIsol80Cz7AiQm1kQjU2tqTvt1Ftx0GKggURyIxQ3lmcBWWL0nLazGwNxsdqEYPlgl6iSjo8nMDwkRPKI5yGRmVToM67WK63v8hzoCbh0sfNWuLkKQwHft71fPF/DcJPigqTZJcitIUyBDmF1YhiLsex23IoHD+FoM8cLvK5nH8vEKVVAblcvl63IIFxmvrcd6b2S9tXRW4MbNh2HrBFgbA3Ht2NXXhPFkmUEHXmOlVrEcKWFpYWwzylSbsC18twwZCAyx3Ua3B0vRI4aiyN/D4iIvmvh4w5LvFYnK7EWzbWG+/alrwaX+i54XENGwdTYjaujcG4gs8YcaNsw79a5JwXiIlWx0YaMDuCN7irR4exxhlBP1W0ajCRLJA6EFratXFxod9q0jc213q5zkprwmtPMrXNWMSu160Y2rFNYx61jEdzWVMQvNqysY5X4u4jEp8qRiFIuwX6zX0CgnQX6nkKn4S0K4ZWjyquVvKS9x5l7Wkyk5tvbtS3xLAuR3eMPIwzFW3yX+yD09J9qrb46CZY43MilM38sWVPshRz/xHQX7VCLrd9zr6epKK7B/jiCRoVklVjJc5iDcEDYjobW07Ul4HPCSovNlGrpFdjJlFwMvLUbjYH410HFYFpsKkSABgijKxJsq6LcEkj0nvzqThHhYEK8qxLIhGV4AYzYaWZl+tRcG3Y0cyhFpgPEfDuExULNh48uf1AhcjjUZgVa3Un86pWN8A4qEkrNEU/qLZdO62NdbxuFSIl2f05bBLCwCjVr7jnfXW9t7Us4NDmQYmUfy1B/h4zr6F181xz20Hx6UZtR5JQcnwVrwd4VxEV5JGiCuLZnUsxW97JGQNDob6X0q9xRRxgItwOZCRoCf6iNif0FVrE+IJMShOGEmdWUsFAJZb6jOxABtew50PjvPxcJQZ0mjYNGXV4yW1PlsrEggqD6lYgEDQXqUXJ/SXnjppZNvP9/ksuP4NE95FWITWOSR410e2hzi99e1U+TxAsSmKdJ0xahrPY+t7nLZxcMouDcW0AHateC+MMUG/h5cK7SjS1iCwG+brp9rfvV+ilCsA6nIGU20OVrK3xsTY00mKo6PDKTx4LIwk/h8P5riPI0q5czABpEJIyntmtuKc8LxkzNFFiMP5epY6IUCBs2ZX1BJHp0PflRvFYEfOpkyGMk5sqtqLm5B9ztrSnhkzYoS4b+KVndc0cnl3CW1aNsxJZbcjtrQjljKTSYXjl07a2++x6EigxpklOk0a5bm6MQRcX2I0U261v4xjwk+HYsFDKMyutgwYDr8vuqCXg0ksCQq0ZaM5rlBa5LaBBoN+XSqmnFxEjxzqvmK+QLYGUML/wAw5lItf7PcWpJxle3DGxqMq8o0Wdl/nNbzowvnFWVlljLFBJps4sL9RrVqweIDKG5GieHYGFsGJJ8OkTsH845cpMY0DFPsZgb2Ftu1J+BR5C8BbN5ZGVv6kYBkP+0inapp+Sbd2vB1jw7ifMhW+40qeSMhtNjvSfwW5ysvQ07x6ta6/KuhcHI+SCWS1bJMD70NFMG9+YNeSygMOvSiANjesVxzrQNb4715Iaxj2Ya2G1ZUYksaysY5XjuIRqVw93yqSA5N8w0uAxIv0+dC4zhTeZGMOVGKPqzRn0tFydlYene1ta2g4Jg8SFWN5EcDNudNbsuUkgDW9xa9jW/BcKIJvOjJZsqxlXuHA3sL76/h2rlyuWhuO/g9CMVGVcebMwnhviEJzAIxzZycwzEjUkFgNbX0FX/h8hyliLZze34fdS5MdMxUFCu2p5Dr0onFyZUsp7X+6j6aTabaa/Ml6h3SdfYr3HMQ2JxCYZTpI6xn/IPVIR8j/tFOvGGJEcJCCwAVP8qnmB2AUUh8Er5mPkfcQRPb3Y5b/LNWS8UxGJlxGHKoMpIBYqAPVppa7XsBvb1Ureq/ngpjhVeFV/cs/h+bDxxqIstrb9e5qteNI8S0yyYWJnXLlcKNTrfQbn4CgY+DMWhYzyqjlldcnkkMoByW1/xeoE7aVdcNwtLWzPbca6g8jm36fKoQUovRIq3GL1p/qrK2kMc0KJiWk81EZ20ZXsGPpzAa2Fxa97GmXBuOxTyGOJHICZ2dts3NGvrf2vQfjHGAKqR4mOKQsCxbMLixvqoNid/jTDw9EWigvOs9s0nnKT9W4sl99CNj1rqcvBDTtcvt8EvG8CskjDL9YLZgeZGqsOX2T8TSrhnDIMLnkQkk+hil3I2zLYajcEjexp5Fg1ztICSSbnpfYfcAKR8Q8RwwzPFIq/VVvqi+Ym5sRvp/3pTaIx9zW4kZTn7I214DOIYJcrKpJjYqCRp6jsNf2LUim8LQytIVmL4iIC5ZyXQKNCLgFrC2utWjDRiaKOSIMucXIJvz9PqFtbE9xfvQuFwNpjIsQMhBRjfKStxn2uToN7UzViptFZwvhrGvKqvJGobTOpAlIBuQo0ub769aYY7DZMef8cZB0tcxuwvb2tQviTBzxmXExS/yhlOVlBNwRk0v6eT+63qXg/F0xbxvmzSJcEkAM6spuWAFrgoLkaHNew2qU0kqXlfuXuU/c99n+xYpcU2HwOLmTR442Zb7Zht99qF8JfSlh57R4kiKTa7fVJ7N+v31p45m8rhUw5zOkY9s4Y/cprh00ddUVsefKW59XeRHIAQQQdiD+YrEwKgWt+vzr5h4R4qxmE/uZ2C/0N6l+R2+Fqu3C/pnnXSfDq46oxU/Jr/jWo1nX58I/wBlvuFawRSDQgHvf8q56n01wEawSj4KfvzCh8V9NMdvRA598o+/MfwoUE6e2BB1Ym/ava4ni/phxb6RRRp3Yl//ABy15Wowd4VXGLMY5UQRhCDrHmCkghgBdrajpyvRHEOGtiHM+HmylWLHa69/30orxjOsPl4vDRI4mU5JQqk8iAx30BYWv06UlxfHEMcPlZY5GDfxBQAElbaD33qM5JLc7McZyepfwXTDYpiqRsGLAasQRmPM9PlXnHJckV/3e2lUzgHinESypDGiC5sXcZlC9SLX+RF6v3GMEXiZTexF1JBFump3FFTUlsTnjcJbib6IY8xxch5lE/8AJj+IoTxxwN0lbExtlFgX0uf6Sw+X31dfAnADhMKFYeuRmkk7E2Cj4KB8b004twrzBpa4v8QbXB+QpVj9qTH6+nK3F7HK+HYfNCVXFROzZXbR1mzA6ML3BPrN+tzU2Ex2NICqTcXDF1I1ufq230tVwg8M5GvHFGrHW4AB96lx/k4ZTJi5wAPsjc9gOdTlii17inXbe3f8v+FP4Z4NkkcvK2c3zG+g6knfrVjDxQKI4rZRuRYZj7DlSeDxdJPKDCnlYdCdPtPp9r36e9DFiP0poKK4QMkpzfvZtxyQuUlWWRPLJuibuCRqO4tXi8WweLlImijWxAUyZfMFxfWM6ddjzHep8NGjIzzEhEFyRyFacT8IQyL5oZiLgXQ2cZgCoYfEb09N7oVOKVP9QjFwxQf+9jmZ40VmUAkKSvpAyEaEZhr3rTgPGVxMsQeFRI6uyut7wi18xJJzXGh2376ZhhBHGcIWEi2dHQ7kkXyhzoGvf3vytVY4bx1MMjxwwlXAyuWYgjL6fUbksL6BdB251tSQyhKXn4vwWbiOLxuGEjSZJIremxLLZnDKxFuQBsD3rzwxJBO+eGNVkW4fKoW5fLa+UWOoapfD3EZ54xJLCscCIVVg31xlZQhTmouTqPs038P4RMLh3xLIFzszqgFtToi/AW+Zpa1NJdzTmowlaV+UVH6XMfd4cIp9MK5n/wD0YaD4L/5VzbERc6tXGMNJI7yvqzsWY9zSSXDnpXfppUeTrt2IpEqLJTWWHtUIhpGiiYAI63MVTlNanSPShQbAlS1ZRZirKNAsuPhrxCkWbC4pfMwkh1Gt4zf669NddKsnFfB0HlBocpQ3aNwSQwOti29/euZYh7G96f8AhPxhJhfR/eQN9aNtvdf6TUZwTOnHlklsyy+HcuEZ/NTRrWa2mnK/31fPDubEWmYWjUnL/iOo+VKeBYSLGIpge+Hv6kdTnU6kqH+0Nfhber7hoVVQqiwAsAOVc8PTKM9d7eCuX1GqNVv5PaG4jj4oIzJK4RV1JJtUfGOJx4eNpZGCqoua4P4s4ziuJS3APlA/y4wfgGbqfwq8pqJLFic+OCzeIPpVZyUwUVr6CRgbn2Xf50mwPh7FYthNi3IDHTzGAJ7AHQCmnhbwuuHtLJJ5couLMt9Tply7k+1G+LcFJOyzQWcRLZkBsUJJBfKwBy8r1zqamnLn4OtQ0SUU6+R7wfDRQegpdl3G2h6X/Gh+Mrh1ZpCwSNQGcsQLX/5rfgDlwgmN2RQCdLBdbDvvv2p1xDhcM/8ALcXVtNDtpfUcxpWjJOXP2JzuK4+5U8Xi4HwcsmGtPGwy213Df0kA8jY7aUV4exJbDyZMP5benKrO92KhiCQ5JVb2GnSlmBw+BwT5TcZsxCi5sA3fbUbCguJYzDfxJdUeYSItlvIoLhrWsCLiw22qjmkxoY3KNNfN/wBaQBjoIcRI4YSwTE3litmGcGxZGJ9O7aa02/8ATVQpc4ljltmAjNyTbQNfXXSjn8Nz40edPkSRSbCIHOwJ+o5va409qf8ACuCJhLtJLIcw1gz5lvobnobjlQjj33QcmZaVpdPxyC8D8OqguSywiwkJJ/mWNxGq7b3ue9utbcc4h5zgDRVNgvIVrxrjZY5AQDpYDZB+tDYWK/7HLeuzFjUdzzM+Zz2AJuH32/Kl+J4Lf9j3q2NBptvWjxC37/Sr2QooeI4EG2FvhSafgbg2rp8uG5jT5UHicGLajX2+NJSY1tHPsPwXUFhTZ+Br5dwp7HtTrEwAZtb7ke3vU/DY7qVuDcXt929GkC2Uw8GF99qyre+CGun72/KsptKE1M5NjZNaZeCuASYzECNbhBYyt0HQdzS2LDvLIsaC7uQFHeu9+DeBJgoFiXVjq7c2Y7muVnah5w6bDYVUw4ISwAA/WnjzBVvffb9arWN4RDLKszqSy22YgG211GhpR9IniUYbDH1APJ6E+PP4DWgYVeLlj4mTEuOSHy2ICOvpdhzLX5VX4PBGPjIGRZEv9eF1YgdbNaqth8SDzpvgeKSR/wB3K6+zEfdSSgpcl8eaWPhlh8XcHnj9YZ2ChSqsrZmuLNZhpmFtjSnw5/EZyzF0Qi1jcEje3W1NMJ4xxi//ADE/5gDTGPxvieZjP+gUnRS42KfipVT3F/H/ADDlOGDX0Di4AI7Gp/CeNxqO7Nh5XDAKBZtO4bl70wXxniDzQeyisfxPiW3lI9rD8KHQV2uRvxj0aK2GGL8MSSKkj4bD57rmEhYLa5zEHUgkW67UX/Z+CiIayBrapCPTm1+0arcnEWbV3J9yTQON4/FELsw/P5VZROV5GXFOJLEnl4dFhTtqx7ljrVS474pCExxnNIdzuF31PU9qqPFfFUkvpS6Kef2j+lBYKPvr+PP51SMSMpMsnDIiz+s5ydb6633/AH2q5cPw6gA3/A69KpeAViNLXU669+nsauGCmAF9wbHkNxr99+lWIMdj6vX8aElQX/Z+dSwS39vz/ZrQLc7b9Pc8vlQCQSe/5ffegsTKctux+Y/e1WJOFPu5WNe9wffL/wBUPKuEQalpLX20W/770NSQdDZQcUrX176aXPzNEcBxYVlB6kWJ/O+9Wd+KYVfqYWP/AFXb8TQsniKJNf4aAf6F/G1F5EZYmu5HiZADfToRr2Isb1lbzeIMOfVJhotdjsfuryisiFeJlF+i5Yv4pnkIzKvov1J1P3CuuiWvm9ZWRgykgjYjerdwb6QJYwFk9QHPnXMdR2fzrC5rhH0l8c/icUVB9EXpHQt9o/gPnVg439I+eEpELMwtfp3rmx11POsY1ilZfqm1H4fjLjcX9qCCV6qVjDuHj45gijE8QJ1+41WljrYRUTFn/wD6VBzPyNav4oP2VPx0quiPtUix0UAYzcamfnlB6frQagsbkknYk61sqURCmlFCs2jj3pvgQd1Gu/7NBxxff+lMcEh0tfYinQjG0DXAkFr2sw0HW2vyGtP8FqFYEWItbnoenxPOkGAiNyL8jcXvcaH86tHg/hJfMXFo0OrHnoCFF6axNNjfg2CeQXBso3Y3ttyF9TR2K4nHACIFu3N9L/8AFC8X4kAojSyJsBsNKR4FiSSoOXa/U9bdKlKRWMaJ8fiZX1LXJ2BPLn7VB5Ata1x++ZotltQ00h5VFzK6QOQi+UR69bD53rIoVYFTY230punBpsuaw9r60MkdtLWPP3oag6SszwgOS4C20UZSRa3IDnvv1rKsM687VlN1BdBxJqjapnWtGWnAR2r0CtwteqlAJ4i1IqVvGlSxx1jEPl1tkqZkrMm1EBCq0QsVeRrrR8abCigMhWL79KnSLT99KlC6n416WGuo/HpRASRLp8vwP/FMMC4AGh6ffS9Hsp30sR/3RsLCwsjexNhzp0hGx/wbCmWVEU6m4Ot7aC5Nu1/lV/xZWKMQx6Kv3nqe5NJPo9wxEbzsAD9VLdOZv70TjpSVubkg3PfXlQkxomssGbRgCP3rW6xgCwFhXuERiMzHfX4Uy4dhla5Y7nTsKgyiFZhpbi28t1Y7A/8AVWebhdmFmuvfe9RjAKz6pmI+rfYd6SUdh4vcM4fEXUFmy3Fx7UFi+AMzMyuNdf3rRk2ClVbgg25A0tXizWNgT7AmklNR+oZRcuCQeG2K3MoB6Wv+dZQi8XasodWAenI4E0dRkUU9QGuqiBoKxa8rAa1GsmjapYzUC1MlGgWS16wrUV7fWjQLNotxR6NzoSNdqkzbUaA2Suw1PetUfehWbl3NTwIbHXmaZIVsIXYjT7PM0xwwGmp20HxPSlsanXXpubcutNMCnI6E25nW5qsUSkzrPDIRFg4029IJ929R/GgUQNKotvfXe+n5U2xrBY000GX8OVAYbAMpzKT6rWvrlB1qF7HQHmAKthyFJuF40u2Vb5huPz9qsc0ByEA6kHWq/wCEoFieZWPqz+o3uSLAgdtzUJxspF0Pbuti66dagxvESbBBtvYGmkmJRhl+dLjxFIfSvKke3cdfkLl4w4NjRGH4uoGgFj2FRcQEWIKs+ljrbTMP6SaMOEw7R5EUIQPSV5frU/8AJbpj+yhPxbCvKQ8SEnY5aymCY7ygEvsLafjWVN4oN2+RlOSVI4NPEAaDMdMsSRc0I6XItXqNHCmCslYIqNWEWooYbS9qGkOoAjw9biK3KnKYWw+FY2Fv2+HajpE1CbLXsaa0dLhSNL0OYedag2etp/xWjnQUVFhi+gsvTMbXPQVo6INGJv0Gmvx/elBySHjBsG3orDoLHfeo4MPz1P4U1jSw2A1/etUiiMmDJhwDtyG41FOMKFAFxtry5HpQLg826bfrWxYKnPbp+ZqqVEm7Ozlg0SNuCF/CjcPFYWqv+D8b52CibmFyn3Gh/CrBhW071yM7ESYhwo151W+LY2IEBQF5kjme9H+IMVkA0uOdVKWEzklQQAbVz5XJL2lYJN7hbcYUbPf40rn4tckkUTJ4XAQsHs2/PfvTrw5BFFGMyqWP1jvr79K5dGSUt9jo1QittynHjUjt6RlRSb33b9BTAeIEjXMxPtrTjxPhYfLaVFCstr20uO9VfhvCRiTqbLflzoVKEqu2w3GSuqRkPGZXYvfQkkA8hWU+l8LrEP5bZrcjXlZY5rlgc4PhHKViGptWqCsrK9c84YKotRcCDLtWVlMhGMEUW+Aoec+r99KysphDSRQaX4vQMRyrKygwoW8S0RbdAfiRe9a4rVomP1mIueunOsrK5Vyd74HMAsARRsIuCT3/ABrKyuyHBwZOWR4s226D8KDxuqAnp+deVlM+BFyX36IpD5Uq30Dmw6aCr3GbOLc73rysrlfJ1rsQcfQFDcVXuD/a9/yrKyoyKIlx8hCmx5UBgpDkGte1lc8vqLL6SDxAL4dgdiVv8xUfhoZYFtpv+JrKykf1DLgf4eQnnWVlZV0SfJ//2Q=="
7,qcac,50,下面哪一項不是日本人冬至傳統一定會做的事？,4,泡柚子澡,吃南瓜,吃紅豆粥,吃湯圓,,,
8,qcac,50,下面哪一個節日沒有強調家人要團圓慶祝？,1,萬聖節,感恩節,中秋節,除夕夜,,,https://img.freepik.com/free-vector/halloween-background-flat-design_52683-43845.jpg?size=626&ext=jpg&uid=R4722879&ga=GA1.2.2114991462.1616495099
9,qcac,50,下列哪個是在台灣可以觀察到的冬至的天文現象？,2,白天最長,白天最短,北極圈呈現永晝,南極圈呈現永夜,,,
10,qcac,50,冬至是太陽離北半球最遠的時候，但為什麼冬至通常不是最冷的時候？,2,北半球陸地面積較大蘊藏了許多能量,北半球吸收的能量在冬至後仍然持續小於散失的能量,北半球的物種十分多元能夠有效的提升空氣溫度,北半球的森林面積較南半球大具有調節氣候的功能,,,
